requirementId,conformanceClass,resourceClass,property,obligation,minCount,maxCount,range,controlledVocabulary,severity,messages,remediation,sourceStandard,sourceClause,localRationale,shapeId,positiveFixtureId,negativeFixtureId
UPSTREAM-GEODCATAP-E338FE2D802FA2ADA163,"[""geo"",""network""]","[""http://www.w3.org/ns/dcat#Catalog""]",http://purl.org/dc/terms/rightsHolder,MUST,,,"[""http://www.w3.org/ns/shacl#BlankNodeOrIRI""]",[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:nodeKind 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://purl.org/dc/terms/rightsHolder> 값을 <http://www.w3.org/ns/shacl#BlankNodeOrIRI> node kind로 바꾼다. 원문 constraint 값은 변경하지 않는다.,GeoDCAT-AP 3.1.0,"[""https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#Catalogue.rightsholder""]",GeoDCAT-AP 3.1.0의 sh:nodeKind 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#dcat:CatalogShape/5247ab8155663a32970621a13083ea5813ec3ab7,UPSTREAM-POS-UPSTREAM-GEODCATAP-E338FE2D802FA2ADA163,UPSTREAM-NEG-UPSTREAM-GEODCATAP-E338FE2D802FA2ADA163
UPSTREAM-GEODCATAP-E39E70C3A06C178EC7F5,"[""geo"",""network""]","[""http://www.w3.org/ns/dcat#DataService""]",http://www.w3.org/ns/dcat#keyword,MUST,,,"[""http://www.w3.org/ns/shacl#Literal""]",[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:nodeKind 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://www.w3.org/ns/dcat#keyword> 값을 <http://www.w3.org/ns/shacl#Literal> node kind로 바꾼다. 원문 constraint 값은 변경하지 않는다.,GeoDCAT-AP 3.1.0,"[""https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#DataService.keyword""]",GeoDCAT-AP 3.1.0의 sh:nodeKind 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#dcat:DataServiceShape/5bc739112726cd993c279f81380611cafc3a9857,UPSTREAM-POS-UPSTREAM-GEODCATAP-E39E70C3A06C178EC7F5,UPSTREAM-NEG-UPSTREAM-GEODCATAP-E39E70C3A06C178EC7F5
UPSTREAM-GEODCATAP-E3CE599A409B3C5AA8DC,"[""geo"",""network""]","[""http://www.w3.org/ns/dcat#CatalogRecord""]",http://data.europa.eu/930/user,MUST,,,"[""http://xmlns.com/foaf/0.1/Agent""]",[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:class 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://data.europa.eu/930/user>의 모든 값에 rdf:type <http://xmlns.com/foaf/0.1/Agent>를 명시한다. 원문 constraint 값은 변경하지 않는다.,GeoDCAT-AP 3.1.0,"[""https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#CatalogueRecord.user""]",GeoDCAT-AP 3.1.0의 sh:class 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#dcat:CatalogRecordShape/ca4e7adcf7fe2a967e2808cac6e379bc9877c1e8,UPSTREAM-POS-UPSTREAM-GEODCATAP-E3CE599A409B3C5AA8DC,UPSTREAM-NEG-UPSTREAM-GEODCATAP-E3CE599A409B3C5AA8DC
UPSTREAM-GEODCATAP-E3D639BAFE204F94EE48,"[""geo"",""network""]","[""http://www.w3.org/ns/dcat#DatasetSeries""]",http://purl.org/dc/terms/creator,MUST,,,"[""http://www.w3.org/ns/shacl#BlankNodeOrIRI""]",[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:nodeKind 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://purl.org/dc/terms/creator> 값을 <http://www.w3.org/ns/shacl#BlankNodeOrIRI> node kind로 바꾼다. 원문 constraint 값은 변경하지 않는다.,GeoDCAT-AP 3.1.0,"[""https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#DatasetSeries.creator""]",GeoDCAT-AP 3.1.0의 sh:nodeKind 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#dcat:DatasetSeriesShape/7d4c667652f23f3a51353271e3800bca87ed3f68,UPSTREAM-POS-UPSTREAM-GEODCATAP-E3D639BAFE204F94EE48,UPSTREAM-NEG-UPSTREAM-GEODCATAP-E3D639BAFE204F94EE48
UPSTREAM-GEODCATAP-E40BB1A2ACF505A8F133,"[""geo"",""network""]","[""http://www.w3.org/ns/dcat#DatasetSeries""]",http://xmlns.com/foaf/0.1/page,MUST,,,"[""http://xmlns.com/foaf/0.1/Document""]",[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:class 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://xmlns.com/foaf/0.1/page>의 모든 값에 rdf:type <http://xmlns.com/foaf/0.1/Document>를 명시한다. 원문 constraint 값은 변경하지 않는다.,GeoDCAT-AP 3.1.0,"[""https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#DatasetSeries.documentation""]",GeoDCAT-AP 3.1.0의 sh:class 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#dcat:DatasetSeriesShape/68388ec47b77212d80036e8a02e9956f5ba0e0f5,UPSTREAM-POS-UPSTREAM-GEODCATAP-E40BB1A2ACF505A8F133,UPSTREAM-NEG-UPSTREAM-GEODCATAP-E40BB1A2ACF505A8F133
UPSTREAM-GEODCATAP-E4158A0BF995DFF365B8,"[""geo"",""network""]","[""http://www.w3.org/ns/dcat#Catalog""]",http://data.europa.eu/930/referenceSystem,MUST,,,"[""http://www.w3.org/2004/02/skos/core#Concept""]",[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:class 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://data.europa.eu/930/referenceSystem>의 모든 값에 rdf:type <http://www.w3.org/2004/02/skos/core#Concept>를 명시한다. 원문 constraint 값은 변경하지 않는다.,GeoDCAT-AP 3.1.0,"[""https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#Catalogue.referencesystem""]",GeoDCAT-AP 3.1.0의 sh:class 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#dcat:CatalogShape/87161588819073178c8f6950dcce2286cac45320,UPSTREAM-POS-UPSTREAM-GEODCATAP-E4158A0BF995DFF365B8,UPSTREAM-NEG-UPSTREAM-GEODCATAP-E4158A0BF995DFF365B8
UPSTREAM-GEODCATAP-E47313227EC6DCDE5BC8,"[""geo"",""network""]","[""http://www.w3.org/ns/dcat#DataService""]",http://data.europa.eu/930/originator,MUST,,,"[""http://xmlns.com/foaf/0.1/Agent""]",[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:class 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://data.europa.eu/930/originator>의 모든 값에 rdf:type <http://xmlns.com/foaf/0.1/Agent>를 명시한다. 원문 constraint 값은 변경하지 않는다.,GeoDCAT-AP 3.1.0,"[""https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#DataService.originator""]",GeoDCAT-AP 3.1.0의 sh:class 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#dcat:DataServiceShape/48476aa3f2bfa8f7c3e4d22652531e590c90e9ac,UPSTREAM-POS-UPSTREAM-GEODCATAP-E47313227EC6DCDE5BC8,UPSTREAM-NEG-UPSTREAM-GEODCATAP-E47313227EC6DCDE5BC8
UPSTREAM-GEODCATAP-E47740C7D36D4F9295D6,"[""geo"",""network""]","[""http://www.w3.org/ns/dcat#DataService""]",http://data.europa.eu/930/serviceType,MUST,,1,[],[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:maxCount 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://data.europa.eu/930/serviceType> 값을 1개 이하로 줄인다. 원문 constraint 값은 변경하지 않는다.,GeoDCAT-AP 3.1.0,"[""https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#DataService.servicetype""]",GeoDCAT-AP 3.1.0의 sh:maxCount 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#dcat:DataServiceShape/93aa3bef56a7ec444fb66a9f67ef6a58a44b9e97,UPSTREAM-POS-UPSTREAM-GEODCATAP-E47740C7D36D4F9295D6,UPSTREAM-NEG-UPSTREAM-GEODCATAP-E47740C7D36D4F9295D6
UPSTREAM-GEODCATAP-E525E5C06901A0B51E4C,"[""geo"",""network""]","[""http://www.w3.org/ns/dcat#DataService""]",http://www.w3.org/ns/dcat#endpointDescription,MUST,,,"[""http://www.w3.org/ns/shacl#BlankNodeOrIRI""]",[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:nodeKind 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://www.w3.org/ns/dcat#endpointDescription> 값을 <http://www.w3.org/ns/shacl#BlankNodeOrIRI> node kind로 바꾼다. 원문 constraint 값은 변경하지 않는다.,GeoDCAT-AP 3.1.0,"[""https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#DataService.endpointdescription""]",GeoDCAT-AP 3.1.0의 sh:nodeKind 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#dcat:DataServiceShape/63240e11f1eb66f636413d1dbb134f0ff9066a7c,UPSTREAM-POS-UPSTREAM-GEODCATAP-E525E5C06901A0B51E4C,UPSTREAM-NEG-UPSTREAM-GEODCATAP-E525E5C06901A0B51E4C
UPSTREAM-GEODCATAP-E5BD5D456A87C4726313,"[""geo"",""network""]","[""http://www.w3.org/ns/dcat#Distribution""]",http://data.europa.eu/930/spatialResolutionAsText,MUST,,1,[],[],Violation,"[{""language"":""ko"",""text"":""로컬 격리 증거: 원문 PropertyShape에는 메시지가 없으며 sh:maxCount 제약을 검증한다."",""source"":""local-evidence"",""predicate"":null}]",MOLIT 로컬 적용 가이드(upstream 원문 보충 설명): <http://data.europa.eu/930/spatialResolutionAsText> 값을 1개 이하로 줄인다. 원문 constraint 값은 변경하지 않는다.,GeoDCAT-AP 3.1.0,"[""https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#Distribution.spatialresolutionastext""]",GeoDCAT-AP 3.1.0의 sh:maxCount 제약을 변경 없이 채택한다. named PropertyShape의 원문 direct quad를 그대로 채택했다. 추가한 sh:targetNode는 격리 시험용이며 규범 의미를 바꾸지 않는다.,https://semiceu.github.io/GeoDCAT-AP/releases/3.1.0#dcat:DistributionShape/2da3f1c58de704304666ae26fc22be70a3a86785,UPSTREAM-POS-UPSTREAM-GEODCATAP-E5BD5D456A87C4726313,UPSTREAM-NEG-UPSTREAM-GEODCATAP-E5BD5D456A87C4726313
